iter	RMSE
0	14.56101696
1	14.18483439
2	13.81857373
3	13.46432432
4	13.13544834
5	12.82641805
6	12.54347042
7	12.2559208
8	11.99622146
9	11.71867843
10	11.43809033
11	11.20262309
12	10.94568816
13	10.71129314
14	10.48950535
15	10.25630708
16	10.04890385
17	9.837522324
18	9.640810949
19	9.445926816
20	9.286333793
21	9.124059298
22	8.959702492
23	8.792902909
24	8.645483877
25	8.513622235
26	8.373621717
27	8.25504651
28	8.128029686
29	8.008784101
30	7.908357645
31	7.804034061
32	7.702037691
33	7.601338046
34	7.501216951
35	7.416911165
36	7.322435995
37	7.239061952
38	7.160100074
39	7.081976223
40	7.020661559
41	6.958784337
42	6.884780852
43	6.831824432
44	6.767819757
45	6.71003368
46	6.646970089
47	6.593280659
48	6.538882443
49	6.486729679
50	6.439160539
51	6.39431703
52	6.348046372
53	6.298990369
54	6.256632072
55	6.21941744
56	6.184974215
57	6.150891987
58	6.117424144
59	6.080182507
60	6.047824872
61	6.018140066
62	5.987281941
63	5.946696556
64	5.916654619
65	5.887951698
66	5.862559189
67	5.832126434
68	5.808349718
69	5.784911526
70	5.762306799
71	5.738409311
72	5.716432043
73	5.69593353
74	5.67839336
75	5.657434629
76	5.641268552
77	5.624189084
78	5.609297173
79	5.5922819
80	5.576505068
81	5.565752376
82	5.559634756
83	5.543735126
84	5.52962142
85	5.512640814
86	5.49568821
87	5.486091193
88	5.473790227
89	5.458338966
90	5.442353057
91	5.432895663
92	5.421712221
93	5.411759631
94	5.403008575
95	5.389819606
96	5.379981358
97	5.371626592
98	5.3666398
99	5.358855791
100	5.352794961
101	5.345442307
102	5.336264297
103	5.329883839
104	5.32096573
105	5.31128778
106	5.305605872
107	5.298446903
108	5.289933474
109	5.281264081
110	5.274767055
111	5.268977775
112	5.26195743
113	5.255417007
114	5.251172162
115	5.248178492
116	5.242350271
117	5.235622005
118	5.232744164
119	5.223458706
120	5.217516703
121	5.214409816
122	5.210020846
123	5.205815883
124	5.199752419
125	5.193063612
126	5.18834698
127	5.18039219
128	5.174980519
129	5.169738012
130	5.161858931
131	5.155737959
132	5.149958589
133	5.141997187
134	5.137112367
135	5.133089044
136	5.129011469
137	5.1247663
138	5.118537903
139	5.113617683
140	5.109729834
141	5.106176387
142	5.105530751
143	5.099075029
144	5.093486719
145	5.091816853
146	5.083657912
147	5.079237768
148	5.075108782
149	5.070687693
150	5.066990053
