iter	Passed	Remaining
0	109	109059
1	111	55496
2	113	37582
3	114	28537
4	116	23161
5	119	19757
6	121	17205
7	122	15248
8	124	13750
9	137	13564
10	139	12513
11	141	11644
12	143	10918
13	145	10269
14	147	9688
15	149	9179
16	151	8731
17	152	8342
18	157	8154
19	160	7886
20	162	7595
21	164	7323
22	166	7077
23	168	6851
24	170	6667
25	173	6485
26	174	6300
27	176	6128
28	178	5977
29	180	5836
30	182	5693
31	186	5639
32	189	5544
33	190	5425
34	192	5313
35	194	5207
36	196	5109
37	198	5035
38	200	4946
39	202	4858
40	204	4778
41	206	4703
42	207	4629
43	209	4560
44	216	4601
45	218	4536
46	220	4476
47	222	4418
48	224	4356
49	226	4307
50	228	4255
51	230	4200
52	232	4146
53	233	4095
54	235	4044
55	237	3998
56	242	4019
57	245	3981
58	246	3937
59	248	3893
60	250	3851
61	251	3810
62	254	3790
63	256	3758
64	258	3724
65	261	3697
66	263	3666
67	265	3632
68	269	3642
69	273	3627
70	274	3594
71	276	3562
72	278	3531
73	279	3503
74	282	3480
75	284	3457
76	286	3429
77	287	3403
78	290	3382
79	291	3356
80	293	3331
81	295	3308
82	298	3301
83	300	3281
84	303	3263
85	305	3248
86	307	3229
87	310	3221
88	321	3287
89	323	3267
90	329	3292
91	331	3271
92	334	3258
93	336	3240
94	338	3224
95	341	3214
96	343	3195
97	345	3178
98	347	3160
99	349	3141
100	350	3121
101	352	3107
102	358	3125
103	360	3104
104	361	3082
105	363	3062
106	365	3048
107	368	3042
108	369	3023
109	371	3006
110	373	2991
111	375	2973
112	376	2953
113	377	2934
114	378	2914
115	379	2894
116	387	2922
117	389	2907
118	390	2893
119	392	2878
120	394	2862
121	395	2849
122	397	2836
123	399	2821
124	400	2804
125	402	2788
126	403	2771
127	404	2756
128	405	2741
129	407	2725
130	408	2710
131	415	2733
132	417	2719
133	418	2705
134	420	2693
135	421	2680
136	423	2669
137	427	2667
138	428	2656
139	430	2643
140	431	2630
141	432	2615
142	434	2603
143	435	2591
144	444	2623
145	446	2614
146	448	2601
147	449	2589
148	451	2576
149	453	2567
150	454	2557
151	456	2545
152	457	2533
153	459	2522
154	460	2511
155	461	2499
156	463	2486
157	464	2473
158	465	2461
159	472	2480
160	474	2472
161	475	2460
162	477	2449
163	478	2438
164	479	2426
165	480	2415
166	483	2409
167	484	2401
168	486	2391
169	487	2379
170	488	2368
171	489	2357
172	490	2346
173	492	2335
174	493	2325
175	494	2316
176	501	2333
177	503	2324
178	505	2316
179	506	2306
180	507	2296
181	508	2285
182	510	2277
183	512	2272
184	513	2263
185	514	2253
186	516	2243
187	517	2234
188	518	2224
189	519	2215
190	520	2206
191	522	2197
192	523	2188
193	526	2188
194	529	2184
195	531	2181
196	533	2173
197	534	2166
198	537	2162
199	539	2157
200	540	2150
201	542	2143
202	544	2136
203	545	2129
204	547	2122
205	548	2115
206	550	2108
207	555	2114
208	559	2119
209	561	2112
210	562	2104
211	564	2098
212	566	2093
213	569	2091
214	571	2086
215	572	2079
216	574	2074
217	576	2068
218	578	2061
219	579	2054
220	588	2075
221	590	2070
222	592	2064
223	593	2056
224	595	2051
225	598	2051
226	600	2044
227	601	2037
228	603	2030
229	604	2023
230	605	2015
231	606	2008
232	614	2023
233	616	2018
234	618	2012
235	619	2006
236	621	2000
237	624	1998
238	626	1993
239	627	1987
240	629	1981
241	630	1974
242	631	1967
243	632	1960
244	634	1954
245	635	1947
246	645	1968
247	647	1962
248	648	1956
249	650	1952
250	652	1948
251	654	1943
252	656	1936
253	657	1930
254	658	1923
255	659	1917
256	661	1911
257	662	1905
258	668	1912
259	670	1909
260	674	1910
261	676	1905
262	677	1898
263	679	1894
264	681	1891
265	683	1886
266	685	1881
267	687	1876
